name,price,category,brand_tag,description,image_url_1,image_url_2,image_url_3,image_url_4,image_url_5,sizes
Giày Nike Air Force 1 '07,2550000,sneakers,nike,"Giày Nike Air Force 1 '07 chính hãng. Đế cao su bền, upper da synthetic, phù hợp streetwear hàng ngày.",https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500&q=80,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?w=500&q=80,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=500&q=80,https://images.unsplash.com/photo-1460353589841-61cb21bbe436?w=500&q=80,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=500&q=80,"[{""size"":""38"",""quantity"":5},{""size"":""39"",""quantity"":8},{""size"":""40"",""quantity"":12},{""size"":""41"",""quantity"":10},{""size"":""42"",""quantity"":7}]"
New Balance 530 Running,2650000,sneakers,new-balance,"New Balance 530 — retro running, đệm êm, phong cách Y2K.",https://images.unsplash.com/photo-1551107696-a4b0c5a0d9a2?w=500&q=80,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500&q=80,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?w=500&q=80,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=500&q=80,https://images.unsplash.com/photo-1460353589841-61cb21bbe436?w=500&q=80,"[{""size"":""39"",""quantity"":6},{""size"":""40"",""quantity"":9},{""size"":""41"",""quantity"":11},{""size"":""42"",""quantity"":8}]"
Air Jordan 1 Retro High,4200000,sneakers,jordan,Air Jordan 1 Retro High OG — biểu tượng sneaker culture.,https://images.unsplash.com/photo-1606107557195-0e29a4b5b4aa?w=500&q=80,https://images.unsplash.com/photo-1542291026-7eec264c27ff?w=500&q=80,https://images.unsplash.com/photo-1595950653106-6c9ebd614d3a?w=500&q=80,https://images.unsplash.com/photo-1460353589841-61cb21bbe436?w=500&q=80,https://images.unsplash.com/photo-1608231387042-66d1773070a5?w=500&q=80,"[{""size"":""40"",""quantity"":4},{""size"":""41"",""quantity"":6},{""size"":""42"",""quantity"":5},{""size"":""43"",""quantity"":3}]"
Ray-Ban Aviator Classic,3500000,sunglasses,ray-ban,"Kính Ray-Ban Aviator Classic, tròng polarized, khung kim loại.",https://images.unsplash.com/photo-1511499767150-a48a237f0083?w=500&q=80,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=500&q=80,https://images.unsplash.com/photo-1574258495973-f010dfbb5311?w=500&q=80,https://images.unsplash.com/photo-1589782869502-86111beab0a5?w=500&q=80,https://images.unsplash.com/photo-1508296697849-686698f76c09?w=500&q=80,[]
Gentle Monster Lilit 01,5200000,sunglasses,gentle-monster,"Gentle Monster Lilit 01 — thiết kế avant-garde, acetate cao cấp.",https://images.unsplash.com/photo-1577803645773-f96470509666?w=500&q=80,https://images.unsplash.com/photo-1511499767150-a48a237f0083?w=500&q=80,https://images.unsplash.com/photo-1572635196237-14b3f281503f?w=500&q=80,https://images.unsplash.com/photo-1574258495973-f010dfbb5311?w=500&q=80,https://images.unsplash.com/photo-1589782869502-86111beab0a5?w=500&q=80,[]
Áo thun Oversize Premium,450000,clothing,stusport,"Áo thun cotton 240gsm, form oversize unisex.",https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=500&q=80,https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=500&q=80,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=500&q=80,https://images.unsplash.com/photo-1618354691373-d851c5c3a990?w=500&q=80,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=500&q=80,"[{""size"":""S"",""quantity"":15},{""size"":""M"",""quantity"":20},{""size"":""L"",""quantity"":18},{""size"":""XL"",""quantity"":10}]"
Hoodie Zip Fleece,890000,clothing,stusport,"Hoodie nỉ bông, khóa kéo YKK, túi kangaroo.",https://images.unsplash.com/photo-1556821840-3a63f95609a7?w=500&q=80,https://images.unsplash.com/photo-1521572163474-6864f9cf17ab?w=500&q=80,https://images.unsplash.com/photo-1591047139829-d91aecb6caea?w=500&q=80,https://images.unsplash.com/photo-1618354691373-d851c5c3a990?w=500&q=80,https://images.unsplash.com/photo-1576566588028-4147f3842f27?w=500&q=80,"[{""size"":""M"",""quantity"":8},{""size"":""L"",""quantity"":12},{""size"":""XL"",""quantity"":9}]"
Túi Crossbody Mini,1250000,bags,stusport,"Túi đeo chéo mini, da PU chống nước nhẹ.",https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=500&q=80,https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=500&q=80,https://images.unsplash.com/photo-1584917865442-de89e762c631?w=500&q=80,https://images.unsplash.com/photo-1622560480654-d96214fdc887?w=500&q=80,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=500&q=80,[]
Backpack Urban 20L,1590000,bags,stusport,"Balo 20L, ngăn laptop 15.6"", đệm lưng thoáng khí.",https://images.unsplash.com/photo-1548036328-c9fa89d128fa?w=500&q=80,https://images.unsplash.com/photo-1553062407-98eeb64c6a62?w=500&q=80,https://images.unsplash.com/photo-1584917865442-de89e762c631?w=500&q=80,https://images.unsplash.com/photo-1622560480654-d96214fdc887?w=500&q=80,https://images.unsplash.com/photo-1590874103328-eac38a683ce7?w=500&q=80,[]
Đồng hồ Chronograph Sport,2890000,watches,casio,"Đồng hồ chronograph, mặt 42mm, chống nước 5ATM.",https://images.unsplash.com/photo-1524592094714-0f0654e20314?w=500&q=80,https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500&q=80,https://images.unsplash.com/photo-1547996160-81dfa6352040?w=500&q=80,https://images.unsplash.com/photo-1587836374828-4dbafa8a0d7a?w=500&q=80,https://images.unsplash.com/photo-1614164185128-e943d6928d74?w=500&q=80,[]
Đồng hồ Minimal Leather,1990000,watches,daniel-wellington,"Đồng hồ mặt tròn tối giản, dây da genuine.",https://images.unsplash.com/photo-1523275335684-37898b6baf30?w=500&q=80,https://images.unsplash.com/photo-1524592094714-0f0654e20314?w=500&q=80,https://images.unsplash.com/photo-1547996160-81dfa6352040?w=500&q=80,https://images.unsplash.com/photo-1587836374828-4dbafa8a0d7a?w=500&q=80,https://images.unsplash.com/photo-1614164185128-e943d6928d74?w=500&q=80,[]
